Exemption Number,Manufacturer Registration Number,Manufacturer Name,Report ID,Date of Event,Manufacturer Aware Date,Event Type,Device Problem Codes,Report Year,Report Quarter,Initial Report Flag,Device ID,Product Code,Brand Name,Model Number,Catalog Number,Implant Available for Evaluation,Implant Returned to Manufacturer
2007014,9617229,ALLERGAN,200517.S2,2/16/2007,2/21/2007,IN,2616;1546,2019,1,S,45,FTR,Natrelle Silicone-Filled Breast Implants,45,45-550,2,2
2007014,9617229,ALLERGAN,244727.S1,9/10/2008,7/25/2012,IN,2682,2019,1,S,115,FTR,Natrelle Silicone-Filled Breast Implants,115,115-378,2,2
2007014,9617229,ALLERGAN,260070.S1,11/6/2012,3/26/2019,IN,2682,2019,1,S,15,FTR,Natrelle Silicone-Filled Breast Implants,15,15-371,2,2
2007014,9617229,ALLERGAN,270524.S1,10/14/2008,10/14/2008,IN,3189,2019,1,S,115,FTR,Natrelle Silicone-Filled Breast Implants,115,115-378,2,2
2007014,9617229,ALLERGAN,391915.S1,5/22/2009,5/22/2009,IN,1546,2019,1,S,20,FTR,Natrelle Silicone-Filled Breast Implants,20,20-600,2,2
2007014,9617229,ALLERGAN,537178.S3,NI,10/20/2009,IN,1546,2019,1,S,15,FTR,Natrelle Silicone-Filled Breast Implants,15,15-397,2,2
2007014,9617229,ALLERGAN,537179.S4,NI,10/20/2009,IN,2682;1546,2019,1,S,15,FTR,Natrelle Silicone-Filled Breast Implants,15,15-371,2,2
2007014,9617229,ALLERGAN,542849.S1,5/26/2009,12/11/2009,IN,2682,2019,1,S,20,FTR,Natrelle Silicone-Filled Breast Implants,20,20-425,2,2
2007014,9617229,ALLERGAN,542852.S1,5/26/2009,12/11/2009,IN,2682,2019,1,S,20,FTR,Natrelle Silicone-Filled Breast Implants,20,20-425,2,2
2007014,9617229,ALLERGAN,545457.S2,NI,11/30/2009,IN,1546,2019,1,S,10,FTR,Natrelle Silicone-Filled Breast Implants,10,10-330,2,2
2007014,9617229,ALLERGAN,546938.S2,12/4/2009,9/28/2013,IN,2682,2019,1,S,15,FTR,Natrelle Silicone-Filled Breast Implants,15,15-213,2,2
2007014,9617229,ALLERGAN,546940.S1,12/4/2009,8/3/2012,IN,3189,2019,1,S,15,FTR,Natrelle Silicone-Filled Breast Implants,15,15-213,2,2
2007014,9617229,ALLERGAN,554720.S6,1/12/2010,11/4/2012,IN,2682,2019,1,S,10,FTR,Natrelle Silicone-Filled Breast Implants,10,10-360,2,2
2007014,9617229,ALLERGAN,555062.S2,1/13/2010,9/28/2011,IN,3190,2019,1,S,15,FTR,Natrelle Silicone-Filled Breast Implants,15,15-397,2,2
2007014,9617229,ALLERGAN,556631.S5,1/19/2010,9/23/2014,IN,3189,2019,1,S,15,FTR,Natrelle Silicone-Filled Breast Implants,15,15-397,2,2
2007014,9617229,ALLERGAN,556632.S5,1/19/2010,9/23/2014,IN,1546,2019,1,S,15,FTR,Natrelle Silicone-Filled Breast Implants,15,15-397,2,2
2007014,9617229,ALLERGAN,561662.S2,2/9/2010,10/20/2015,IN,3189,2019,1,S,15,FTR,Natrelle Silicone-Filled Breast Implants,15,15-575,2,2
2007014,9617229,ALLERGAN,580092.S2,9/10/2009,12/1/2010,IN,1546,2019,1,S,120,FTR,Natrelle Silicone-Filled Breast Implants,120,120-440,2,2
2007014,9617229,ALLERGAN,580094.S2,9/10/2009,12/1/2010,IN,3189,2019,1,S,120,FTR,Natrelle Silicone-Filled Breast Implants,120,120-440,2,2
2007014,9617229,ALLERGAN,581296.S2,4/30/2010,4/30/2015,IN,3189,2019,1,S,10,FTR,Natrelle Silicone-Filled Breast Implants,10,10-270,2,2
2007014,9617229,ALLERGAN,583836.S2,5/11/2010,5/11/2010,IN,3189,2019,1,S,15,FTR,Natrelle Silicone-Filled Breast Implants,15,15-421,2,2
2007014,9617229,ALLERGAN,583837.S2,5/11/2010,5/11/2010,IN,1546,2019,1,S,15,FTR,Natrelle Silicone-Filled Breast Implants,15,15-421,2,2
2007014,9617229,ALLERGAN,590149,6/4/2010,12/18/2018,IN,1546;2682,2019,1,I,15,FTR,Natrelle Silicone-Filled Breast Implants,15,15-339,2,2
2007014,9617229,ALLERGAN,595715.S2,6/29/2010,6/29/2010,IN,3189,2019,1,S,20,FTR,Natrelle Silicone-Filled Breast Implants,20,20-400,2,2
2007014,9617229,ALLERGAN,599840.S3,2/21/2010,8/14/2015,IN,2616,2019,1,S,20,FTR,Natrelle Silicone-Filled Breast Implants,20,20-425,2,2
2007014,9617229,ALLERGAN,599843.S4,2/21/2010,8/14/2015,IN,2616,2019,1,S,20,FTR,Natrelle Silicone-Filled Breast Implants,20,20-425,2,2
2007014,9617229,ALLERGAN,605496.S2,8/11/2010,9/19/2013,IN,1546;2682,2019,1,S,20,FTR,Natrelle Silicone-Filled Breast Implants,20,20-425,2,2
2007014,9617229,ALLERGAN,605497.S2,2/23/2010,9/19/2013,IN,2682,2019,1,S,20,FTR,Natrelle Silicone-Filled Breast Implants,20,20-425,2,2
2007014,9617229,ALLERGAN,609685.S4,3/15/2010,5/27/2016,IN,2682,2019,1,S,15,FTR,Natrelle Silicone-Filled Breast Implants,15,15-421,2,2
2007014,9617229,ALLERGAN,620664.S1,10/20/2010,3/23/2014,IN,2682,2019,1,S,20,FTR,Natrelle Silicone-Filled Breast Implants,20,20-475,2,2
2007014,9617229,ALLERGAN,624957.S2,11/10/2010,3/15/2013,IN,3189,2019,1,S,20,FTR,Natrelle Silicone-Filled Breast Implants,20,20-550,2,2
2007014,9617229,ALLERGAN,635405.S1,9/20/2010,4/18/2015,IN,2682;1546,2019,1,S,115,FTR,Natrelle Silicone-Filled Breast Implants,115,115-586,2,2
2007014,9617229,ALLERGAN,649712.S1,3/10/2011,3/10/2011,IN,1546,2019,1,S,110,FTR,Natrelle Silicone-Filled Breast Implants,110,110-360,2,2
2007014,9617229,ALLERGAN,675816.S4,7/7/2011,3/14/2014,IN,3190;2203,2019,1,S,20,FTR,Natrelle Silicone-Filled Breast Implants,20,20-280,2,2
